Date,Time,Brightness (LUX)
02/25/2017,09:58:11.187,0
02/25/2017,09:58:11.679,0
02/25/2017,09:58:12.194,0
02/25/2017,09:58:12.687,0
02/25/2017,09:58:13.190,0
02/25/2017,09:58:13.684,0
02/25/2017,09:58:14.183,0
02/25/2017,09:58:14.674,0
02/25/2017,09:58:15.213,0
02/25/2017,09:58:15.677,0
02/25/2017,09:58:16.228,0
02/25/2017,09:58:16.710,0
02/25/2017,09:58:17.216,0
02/25/2017,09:58:17.709,4
02/25/2017,09:58:18.210,0
02/25/2017,09:58:18.701,0
02/25/2017,09:58:19.217,0
02/25/2017,09:58:19.713,0
02/25/2017,09:58:20.206,4
02/25/2017,09:58:20.730,4
02/25/2017,09:58:21.211,4
02/25/2017,09:58:21.727,3
02/25/2017,09:58:22.184,1
02/25/2017,09:58:22.677,1
02/25/2017,09:58:23.175,0
02/25/2017,09:58:23.684,0
02/25/2017,09:58:24.202,0
02/25/2017,09:58:24.720,0
02/25/2017,09:58:25.212,0
02/25/2017,09:58:25.723,0
02/25/2017,09:58:26.225,0
02/25/2017,09:58:26.747,0
02/25/2017,09:58:27.235,0
02/25/2017,09:58:27.684,0
02/25/2017,09:58:28.187,0
02/25/2017,09:58:28.706,0
02/25/2017,09:58:29.208,0
02/25/2017,09:58:29.688,0
02/25/2017,09:58:30.223,0
02/25/2017,09:58:30.720,0
02/25/2017,09:58:31.224,0
02/25/2017,09:58:31.715,0
02/25/2017,09:58:32.219,0
02/25/2017,09:58:32.700,0
02/25/2017,09:58:33.210,0
02/25/2017,09:58:33.725,0
02/25/2017,09:58:34.214,0
02/25/2017,09:58:34.727,0
02/25/2017,09:58:35.209,0
02/25/2017,09:58:35.723,0
02/25/2017,09:58:36.198,0
02/25/2017,09:58:36.730,0
02/25/2017,09:58:37.211,0
02/25/2017,09:58:37.714,0
02/25/2017,09:58:38.230,0
02/25/2017,09:58:38.709,0
02/25/2017,09:58:39.179,0
02/25/2017,09:58:39.687,0
02/25/2017,09:58:40.187,0
02/25/2017,09:58:40.725,0
02/25/2017,09:58:41.201,0
02/25/2017,09:58:41.725,0
02/25/2017,09:58:42.192,0
02/25/2017,09:58:42.706,1
02/25/2017,09:58:43.222,1
02/25/2017,09:58:43.706,1
02/25/2017,09:58:44.188,0
02/25/2017,09:58:44.709,0
02/25/2017,09:58:45.238,0
02/25/2017,09:58:45.716,0
02/25/2017,09:58:46.196,0
02/25/2017,09:58:46.697,0
02/25/2017,09:58:47.227,0
02/25/2017,09:58:47.730,0
02/25/2017,09:58:48.201,0
02/25/2017,09:58:48.720,0
02/25/2017,09:58:49.200,0
02/25/2017,09:58:49.702,0
02/25/2017,09:58:50.187,0
02/25/2017,09:58:50.715,0
02/25/2017,09:58:51.195,0
02/25/2017,09:58:51.683,0
02/25/2017,09:58:52.195,0
02/25/2017,09:58:52.703,0
02/25/2017,09:58:53.228,0
02/25/2017,09:58:53.713,0
02/25/2017,09:58:54.220,0
02/25/2017,09:58:54.725,0
02/25/2017,09:58:55.224,0
02/25/2017,09:58:55.697,0
02/25/2017,09:58:56.236,0
02/25/2017,09:58:56.699,0
02/25/2017,09:58:57.220,0
02/25/2017,09:58:57.700,0
02/25/2017,09:58:58.223,0
02/25/2017,09:58:58.717,0
02/25/2017,09:58:59.236,0
02/25/2017,09:58:59.725,0
02/25/2017,09:59:00.230,0
02/25/2017,09:59:00.734,0
02/25/2017,09:59:01.225,0
02/25/2017,09:59:01.701,0
02/25/2017,09:59:02.222,0
02/25/2017,09:59:02.717,0
02/25/2017,09:59:03.241,0
02/25/2017,09:59:03.726,0
02/25/2017,09:59:04.220,0
02/25/2017,09:59:04.721,0
02/25/2017,09:59:05.224,0
02/25/2017,09:59:05.729,0
02/25/2017,09:59:06.199,0
02/25/2017,09:59:06.697,0
02/25/2017,09:59:07.201,0
02/25/2017,09:59:07.708,0
02/25/2017,09:59:08.213,0
02/25/2017,09:59:08.734,0
02/25/2017,09:59:09.243,0
02/25/2017,09:59:09.735,0
02/25/2017,09:59:10.208,0
02/25/2017,09:59:10.702,0
02/25/2017,09:59:11.194,0
02/25/2017,09:59:11.700,0
02/25/2017,09:59:12.194,0
02/25/2017,09:59:12.705,0
02/25/2017,09:59:13.209,0
02/25/2017,09:59:13.726,0
02/25/2017,09:59:14.257,0
02/25/2017,09:59:14.733,0
02/25/2017,09:59:15.244,0
02/25/2017,09:59:15.694,0
02/25/2017,09:59:16.247,0
02/25/2017,09:59:16.736,0
02/25/2017,09:59:17.214,0
02/25/2017,09:59:17.723,0
02/25/2017,09:59:18.227,0
02/25/2017,09:59:18.714,0
02/25/2017,09:59:19.206,0
02/25/2017,09:59:19.720,0
02/25/2017,09:59:20.234,0
02/25/2017,09:59:20.690,0
02/25/2017,09:59:21.197,0
02/25/2017,09:59:21.758,0
02/25/2017,09:59:22.218,0
02/25/2017,09:59:22.709,0
02/25/2017,09:59:23.211,0
02/25/2017,09:59:23.719,0
02/25/2017,09:59:24.217,0
02/25/2017,09:59:24.737,0
02/25/2017,09:59:25.194,0
02/25/2017,09:59:25.731,0
02/25/2017,09:59:26.214,0
02/25/2017,09:59:26.744,0
02/25/2017,09:59:27.203,0
02/25/2017,09:59:27.700,0
02/25/2017,09:59:28.203,0
02/25/2017,09:59:28.710,0
02/25/2017,09:59:29.210,0
02/25/2017,09:59:29.710,0
02/25/2017,09:59:30.204,0
02/25/2017,09:59:30.726,0
02/25/2017,09:59:31.214,0
02/25/2017,09:59:31.717,0
02/25/2017,09:59:32.214,0
02/25/2017,09:59:32.722,0
02/25/2017,09:59:33.207,0
02/25/2017,09:59:33.720,0
02/25/2017,09:59:34.227,0
02/25/2017,09:59:34.741,0
02/25/2017,09:59:35.238,0
02/25/2017,09:59:35.751,0
02/25/2017,09:59:36.193,0
02/25/2017,09:59:36.744,0
02/25/2017,09:59:37.233,0
02/25/2017,09:59:37.712,0
02/25/2017,09:59:38.235,0
02/25/2017,09:59:38.760,0
02/25/2017,09:59:39.225,0
02/25/2017,09:59:39.745,0
02/25/2017,09:59:40.250,0
02/25/2017,09:59:40.742,0
02/25/2017,09:59:41.251,0
02/25/2017,09:59:41.717,0
02/25/2017,09:59:42.235,0
02/25/2017,09:59:42.695,0
02/25/2017,09:59:43.242,0
02/25/2017,09:59:43.748,0
02/25/2017,09:59:44.249,0
02/25/2017,09:59:44.693,0
02/25/2017,09:59:45.242,0
02/25/2017,09:59:45.735,0
02/25/2017,09:59:46.236,0
02/25/2017,09:59:46.696,0
02/25/2017,09:59:47.193,0
02/25/2017,09:59:47.718,0
02/25/2017,09:59:48.239,0
02/25/2017,09:59:48.739,0
02/25/2017,09:59:49.196,0
02/25/2017,09:59:49.704,0
02/25/2017,09:59:50.243,0
02/25/2017,09:59:50.720,0
02/25/2017,09:59:51.235,0
02/25/2017,09:59:51.729,0
02/25/2017,09:59:52.234,0
02/25/2017,09:59:52.715,0
02/25/2017,09:59:53.219,0
02/25/2017,09:59:53.731,0
02/25/2017,09:59:54.233,0
02/25/2017,09:59:54.747,0
02/25/2017,09:59:55.205,0
02/25/2017,09:59:55.714,0
02/25/2017,09:59:56.195,0
02/25/2017,09:59:56.711,0
02/25/2017,09:59:57.203,0
02/25/2017,09:59:57.696,0
02/25/2017,09:59:58.240,0
02/25/2017,09:59:58.717,0
02/25/2017,09:59:59.247,0
02/25/2017,09:59:59.701,0
02/25/2017,10:00:00.199,0
02/25/2017,10:00:00.705,0
02/25/2017,10:00:01.207,0
02/25/2017,10:00:01.714,0
02/25/2017,10:00:02.236,0
02/25/2017,10:00:02.699,0
02/25/2017,10:00:03.197,0
02/25/2017,10:00:03.712,0
02/25/2017,10:00:04.210,0
02/25/2017,10:00:04.731,0
02/25/2017,10:00:05.250,0
02/25/2017,10:00:05.739,0
02/25/2017,10:00:06.239,0
02/25/2017,10:00:06.752,0
02/25/2017,10:00:07.251,0
02/25/2017,10:00:07.726,0
02/25/2017,10:00:08.229,0
02/25/2017,10:00:08.742,0
02/25/2017,10:00:09.238,0
02/25/2017,10:00:09.768,0
02/25/2017,10:00:10.239,0
02/25/2017,10:00:10.745,0
02/25/2017,10:00:11.243,0
02/25/2017,10:00:11.769,0
02/25/2017,10:00:12.247,0
02/25/2017,10:00:12.741,0
02/25/2017,10:00:13.239,0
02/25/2017,10:00:13.707,0
02/25/2017,10:00:14.247,0
02/25/2017,10:00:14.750,0
02/25/2017,10:00:15.226,0
02/25/2017,10:00:15.737,0
02/25/2017,10:00:16.221,0
02/25/2017,10:00:16.739,0
02/25/2017,10:00:17.239,0
02/25/2017,10:00:17.735,0
02/25/2017,10:00:18.238,0
02/25/2017,10:00:18.729,0
02/25/2017,10:00:19.256,0
02/25/2017,10:00:19.747,0
02/25/2017,10:00:20.240,0
02/25/2017,10:00:20.736,0
02/25/2017,10:00:21.215,0
02/25/2017,10:00:21.746,0
02/25/2017,10:00:22.232,0
02/25/2017,10:00:22.733,0
02/25/2017,10:00:23.250,0
02/25/2017,10:00:23.748,0
02/25/2017,10:00:24.245,0
02/25/2017,10:00:24.747,0
02/25/2017,10:00:25.251,0
02/25/2017,10:00:25.755,0
02/25/2017,10:00:26.247,0
02/25/2017,10:00:26.705,0
02/25/2017,10:00:27.204,0
02/25/2017,10:00:27.713,0
02/25/2017,10:00:28.249,0
02/25/2017,10:00:28.705,0
02/25/2017,10:00:29.260,0
02/25/2017,10:00:29.700,0
02/25/2017,10:00:30.219,0
02/25/2017,10:00:30.705,0
02/25/2017,10:00:31.216,0
02/25/2017,10:00:31.723,0
02/25/2017,10:00:32.255,0
02/25/2017,10:00:32.755,0
02/25/2017,10:00:33.215,0
02/25/2017,10:00:33.708,0
02/25/2017,10:00:34.212,0
02/25/2017,10:00:34.718,0
02/25/2017,10:00:35.229,0
02/25/2017,10:00:35.731,0
02/25/2017,10:00:36.205,0
02/25/2017,10:00:36.747,0
02/25/2017,10:00:37.209,0
02/25/2017,10:00:37.704,0
02/25/2017,10:00:38.238,0
02/25/2017,10:00:38.737,0
02/25/2017,10:00:39.234,0
02/25/2017,10:00:39.769,0
02/25/2017,10:00:40.229,0
02/25/2017,10:00:40.720,0
02/25/2017,10:00:41.248,0
02/25/2017,10:00:41.726,0
02/25/2017,10:00:42.218,0
02/25/2017,10:00:42.718,0
02/25/2017,10:00:43.219,0
02/25/2017,10:00:43.740,0
02/25/2017,10:00:44.247,0
02/25/2017,10:00:44.733,0
02/25/2017,10:00:45.250,0
02/25/2017,10:00:45.753,0
02/25/2017,10:00:46.239,0
02/25/2017,10:00:46.715,0
02/25/2017,10:00:47.235,0
02/25/2017,10:00:47.712,0
02/25/2017,10:00:48.224,0
02/25/2017,10:00:48.747,0
02/25/2017,10:00:49.256,0
02/25/2017,10:00:49.753,0
02/25/2017,10:00:50.246,0
02/25/2017,10:00:50.737,0
02/25/2017,10:00:51.208,0
02/25/2017,10:00:51.718,0
02/25/2017,10:00:52.217,0
02/25/2017,10:00:52.758,0
02/25/2017,10:00:53.256,0
02/25/2017,10:00:53.725,0
02/25/2017,10:00:54.217,0
02/25/2017,10:00:54.719,0
02/25/2017,10:00:55.236,0
02/25/2017,10:00:55.749,0
02/25/2017,10:00:56.276,0
02/25/2017,10:00:56.747,0
02/25/2017,10:00:57.242,0
02/25/2017,10:00:57.753,0
02/25/2017,10:00:58.255,0
02/25/2017,10:00:58.755,0
02/25/2017,10:00:59.250,0
02/25/2017,10:00:59.754,0
02/25/2017,10:01:00.229,0
02/25/2017,10:01:00.779,0
02/25/2017,10:01:01.205,0
02/25/2017,10:01:01.718,0
02/25/2017,10:01:02.214,0
02/25/2017,10:01:02.746,0
02/25/2017,10:01:03.250,0
02/25/2017,10:01:03.727,0
02/25/2017,10:01:04.276,0
02/25/2017,10:01:04.725,0
02/25/2017,10:01:05.216,0
02/25/2017,10:01:05.714,0
02/25/2017,10:01:06.209,0
02/25/2017,10:01:06.709,0
